Compound,True_Eff,Pred_Diff_Score,Pred_Class,True_Class,Correct
ARI,8.066999912261963,-0.19515906,Weaker,Weaker,1
BRE,0.6914000026881695,-0.26252678,Weaker,Weaker,1
LSD,9.148000180721283,-0.27389982,Weaker,Weaker,1
Lisu,14.830000698566437,-0.219843,Weaker,Weaker,1
R10,43.48999857902527,-0.29151157,Weaker,Weaker,1
ROT,51.590001583099365,-0.085054584,Weaker,Weaker,1
S10,27.20000147819519,-0.28948605,Weaker,Weaker,1
S84,6.898000091314316,-0.3042199,Weaker,Weaker,1
UNC,43.070000410079956,-0.13185273,Weaker,Weaker,1
