Rank,Feature,Mask_Value
1,Global_Cos_Angle,0.4888244
2,6.52_Global_Max,0.4838039
3,6.51_Global_Max,0.4795141
4,6.51_Global_Sum,0.473089
5,6.52_Global_Sum,0.47283125
6,6.51_Global_Norm,0.4716208
7,6.52_Global_Norm,0.46927416
8,Atom0_6.52_Angle,0.3831376
9,Atom5_6.52_Angle,0.3831376
10,Atom1_6.52_Angle,0.3831376
11,Atom7_6.52_Angle,0.3831376
12,Atom2_6.52_Angle,0.3831376
13,Atom4_6.52_Angle,0.3831376
14,Atom6_6.52_Angle,0.3831376
15,Atom8_6.52_Angle,0.3831376
16,Atom3_6.52_Angle,0.3831376
17,Atom4_6.51_Score,0.37701324
18,Atom3_6.51_Score,0.37701324
19,Atom5_6.51_Score,0.37701324
20,Atom1_6.51_Score,0.37701324
21,Atom2_6.51_Score,0.37701324
22,Atom6_6.51_Score,0.37701324
23,Atom7_6.51_Score,0.37701324
24,Atom8_6.51_Score,0.37701324
25,Atom0_6.51_Score,0.37701324
26,Atom2_6.51_Angle,0.37135717
27,Atom3_6.51_Angle,0.37135717
28,Atom4_6.51_Angle,0.37135717
29,Atom0_6.51_Angle,0.37135717
30,Atom8_6.51_Angle,0.37135717
31,Atom5_6.51_Angle,0.37135717
32,Atom7_6.51_Angle,0.37135717
33,Atom1_6.51_Angle,0.37135717
34,Atom6_6.51_Angle,0.37135717
35,Atom4_6.52_Score,0.36475527
36,Atom7_6.52_Score,0.36475527
37,Atom6_6.52_Score,0.36475527
38,Atom0_6.52_Score,0.36475527
39,Atom1_6.52_Score,0.36475527
40,Atom3_6.52_Score,0.36475527
41,Atom5_6.52_Score,0.36475527
42,Atom8_6.52_Score,0.36475527
43,Atom2_6.52_Score,0.36475527
44,Atom2_6.51_Dist,0.32797822
45,Atom1_6.51_Dist,0.32797822
46,Atom5_6.51_Dist,0.32797822
47,Atom3_6.51_Dist,0.32797822
48,Atom4_6.51_Dist,0.32797822
49,Atom6_6.51_Dist,0.32797822
50,Atom7_6.51_Dist,0.32797822
51,Atom8_6.51_Dist,0.32797822
52,Atom0_6.51_Dist,0.32797822
53,Atom2_6.52_Dist,0.32529804
54,Atom3_6.52_Dist,0.32529804
55,Atom4_6.52_Dist,0.32529804
56,Atom5_6.52_Dist,0.32529804
57,Atom1_6.52_Dist,0.32529804
58,Atom6_6.52_Dist,0.32529804
59,Atom7_6.52_Dist,0.32529804
60,Atom0_6.52_Dist,0.32529804
61,Atom8_6.52_Dist,0.32529804
